customer,duration,avg_ret_exp,avg_ret_exp_sq,industry,revenue,employees,total_crossbuy,total_freq,total_freq_sq,censor
471,730,55.08,3033.8064,1,22.67,602,5,19,361,1
472,730,48.1,2313.61,1,40.37,78,5,18,324,1
473,730,4.86,23.6196,1,41.42,1371,3,1,1,1
474,730,6.38,40.7044,0,69.96,366,2,6,36,1
475,490,20.22,408.8484,1,41.01,77,2,2,4,0
476,730,32.96,1086.3616,1,14.64,939,5,18,324,1
477,730,42.99,1848.1401,1,28.96,365,6,11,121,1
478,730,28.8,829.44,1,26.57,1300,4,2,4,1
479,467,49.72,2472.0784,1,35.51,193,4,2,4,0
480,730,13.82,190.9924,1,40.12,1577,6,4,16,1
481,465,78.87,6220.4769,0,56.51,264,4,21,441,0
482,661,48.42,2344.4964,1,35.66,355,5,12,144,0
483,730,6.97,48.5809,0,40.42,452,3,18,324,1
484,638,54.37,2956.0969,0,56.36,320,3,4,16,0
485,730,32.93,1084.3849,1,23.53,1027,4,8,64,1
486,730,2.59,6.7081,1,59.97,1731,6,10,100,1
487,723,6.77,45.8329,1,45.08,379,2,20,400,0
488,649,13.99,195.7201,0,35.95,337,4,10,100,0
489,730,12.8,163.84,1,58.85,745,2,15,225,1
490,474,78.6,6177.96,1,49.51,431,4,2,4,0
491,717,5.64,31.8096,0,57.21,202,1,14,196,0
492,558,24.21,586.1241,0,59.72,25,2,8,64,0
493,710,8.32,69.2224,0,45.04,123,2,8,64,0
494,730,38.05,1447.8025,0,39.92,292,3,13,169,1
495,730,0.87,0.7569,1,32,316,6,2,4,1
496,730,46.4,2152.96,1,20.21,1393,3,13,169,1
497,505,47.04,2212.7616,1,8.11,238,2,19,361,0
498,659,28,784,1,38.5,44,5,13,169,0
499,730,14.92,222.6064,1,13.77,348,5,17,289,1
500,730,40.52,1641.8704,1,60.42,469,3,3,9,1
