,Price,Bedroom,Bathroom,sqft,zipcode,Address
14931,"$319,900",3 Bd,3 Bath,"1,736 Sqft",14586,"19 Longton Place,
       
        Henrietta, NY 14586"
14932,"$379,900",3 Bd,3 Bath,"2,116 Sqft",14586,"172 E Path Rise,
       
        Henrietta, NY 14586"
14933,"$299,900",3 Bd,3 Bath,"1,886 Sqft",14586,"30 Butterfly Lane,
       
        Henrietta, NY 14586"
14934,"$375,000",3 Bd,3 Bath,"1,888 Sqft",14586,"120 Hummingbird,
       
        Henrietta, NY 14586"
14935,"$389,000",3 Bd,3 Bath,"2,065 Sqft",14586,"19 Blaydon Loop,
       
        Henrietta, NY 14586"
14936,"$299,900",3 Bd,2 Bath,"1,594 Sqft",14586,"56 Doncaster Trail,
       
        Henrietta, NY 14586"
14937,"$369,900",3 Bd,3 Bath,"2,087 Sqft",14586,"3 Chelsea Meadows Drive,
       
        Henrietta, NY 14586"
14938,"$500,000",3 Bd,3 Bath,"1,504 Sqft",14544,"4850 Jones Road,
       
        Gorham, NY 14544"
14939,"$825,000",2 Bd,1 Bath,912 Sqft,14544,"5028 County Road 11,
       
        Gorham, NY 14544"
14940,"$190,000",3 Bd,2 Bath,"1,680 Sqft",14544,"38 N Main Street,
       
        Gorham, NY 14544"
14941,"$995,000",4 Bd,3 Bath,"1,408 Sqft",14544,"332 E Lake Rd,
       
        Middlesex, NY 14544"
14942,"$1,899,900",4 Bd,5 Bath,"2,710 Sqft",14544,"5250 Shale Beach Road,
       
        Gorham, NY 14544"
14943,"$1,099,000",3 Bd,3 Bath,"1,704 Sqft",14544,"4777-78 County Road 11,
       
        Gorham, NY 14544"
14944,"$500,000",,,,14544,"0 Bare Hill Rd,
       
        Middlesex, NY 14544"
14945,"$114,900",2 Bd,1 Bath,"1,383 Sqft",14507,"591 State Route 245,
       
        Middlesex, NY 14507"
14946,"$229,900",6 Bd,3 Bath,"3,408 Sqft",14507,"1139 Lincoln Avenue,
       
        Middlesex, NY 14507"
14947,"$269,000",3 Bd,2 Bath,"1,674 Sqft",14527,"4294 State Route 364,
       
        Potter, NY 14527"
14948,"$149,900",2 Bd,1 Bath,768 Sqft,14512,"1923 Shay Road,
       
        Middlesex, NY 14512"
14949,"$379,000",2 Bd,2 Bath,867 Sqft,14424,"4570 Northern Parkway,
       
        Gorham, NY 14424"
14950,"$249,900",3 Bd,1 Bath,"1,511 Sqft",14424,"4552 Wildflower Drive,
       
        Gorham, NY 14424"
14951,"$1,900,000",4 Bd,3 Bath,"3,165 Sqft",14424,"5267 Menteth Drive,
       
        Canandaigua, NY 14424"
14952,"$485,000",3 Bd,2 Bath,"1,962 Sqft",14424,"4537 Ridge Rd,
       
        Gorham, NY 14424"
14953,"$4,500,000",5 Bd,4 Bath,"5,563 Sqft",14424,"4747 County Road 16/West Lake Road,
       
        Canandaigua, NY 14424"
14954,"$495,000",3 Bd,3 Bath,"2,302 Sqft",14424,"5256 Red Fox Dr,
       
        Canandaigua, NY 14424"
14955,"$349,900",4 Bd,1 Bath,"1,980 Sqft",14424,"5142 County Road 16,
       
        Canandaigua, NY 14424"
14956,"$149,900",3 Bd,1 Bath,"1,354 Sqft",14507,"1854 West Avenue,
       
        Middlesex, NY 14507"
14957,"$5,350,000",5 Bd,5 Bath,"6,500 Sqft",14424,"4331 Tichenor Point DR,
       
        Canandaigua, NY 14424"
14958,"$389,900",3 Bd,3 Bath,"2,810 Sqft",14424,"19 Spy Glass Hill,
       
        South Bristol, NY 14424"
14959,"$750,000",2 Bd,4 Bath,"1,745 Sqft",14424,"5082 Foster Road,
       
        Canandaigua, NY 14424"
14960,"$59,900",3 Bd,1 Bath,"1,187 Sqft",14545,"5623 Scottsburg Road,
       
        Sparta, NY 14545"
14961,"$395,000",5 Bd,3 Bath,"2,356 Sqft",14462,"6856 Groveland Hill Road,
       
        Groveland, NY 14462"
14962,"$429,900",3 Bd,2 Bath,"2,100 Sqft",14462,"4458 Lattimer Rd Road,
       
        Groveland, NY 14462"
14963,"$399,900",3 Bd,2 Bath,"2,052 Sqft",14462,"4921 Bath Road,
       
        Groveland, NY 14462"
14964,"$299,900",5 Bd,3 Bath,"2,748 Sqft",14462,"4721 Scottsburg Road,
       
        Groveland, NY 14462"
14965,"$349,900",2 Bd,1 Bath,854 Sqft,14435,"6135 W Lake Road,
       
        Conesus, NY 14435"
14966,"$485,000",2 Bd,1 Bath,"1,035 Sqft",14435,"5759 W Lake Rd Road,
       
        Groveland, NY 14435"
14967,"$450,000",2 Bd,1 Bath,986 Sqft,14435,"5776 E Lake Road,
       
        Conesus, NY 14435"
14968,"$535,000",4 Bd,1 Bath,"2,344 Sqft",14435,"5697 E Lake Road,
       
        Conesus, NY 14435"
14969,"$2,725,000",3 Bd,2 Bath,"2,685 Sqft",14435,"6000 Henderson Hill Road,
       
        Conesus, NY 14435"
14970,"$589,000",3 Bd,3 Bath,"1,323 Sqft",14487,"5264 E Lake Rd Road,
       
        Livonia, NY 14487"
14971,"$249,900",3 Bd,2 Bath,"1,608 Sqft",14487,"5795 Decker Road,
       
        Livonia, NY 14487"
14972,"$199,900",2 Bd,1 Bath,"1,050 Sqft",14437,"4644 Goho Road,
       
        Sparta, NY 14437"
14973,"$189,900",3 Bd,1 Bath,"1,524 Sqft",14437,"8524 Green Road,
       
        Sparta, NY 14437"
14974,"$469,000",4 Bd,4 Bath,"3,251 Sqft",14454,"8 Crossett Road,
       
        Geneseo, NY 14454"
14975,"$699,900",5 Bd,4 Bath,"3,256 Sqft",14435,"6684 Bishop Road,
       
        Conesus, NY 14435"
14976,"$749,900",7 Bd,7 Bath,"5,263 Sqft",14454,"85 Center Street,
       
        Geneseo, NY 14454"
14977,"$169,000",3 Bd,1 Bath,"1,344 Sqft",14435,"6855 Conesus Springwater Road,
       
        Conesus, NY 14435"
14978,"$189,900",3 Bd,2 Bath,"1,270 Sqft",14435,"7098 Conesus Springwater Road,
       
        Conesus, NY 14435"
14979,"$545,000",,,,14454,"72 2nd Street,
       
        Geneseo, NY 14454"
14980,"$164,000",5 Bd,2 Bath,"1,416 Sqft",14454,"8 Highland Road,
       
        Geneseo, NY 14454"
14981,"$179,000",3 Bd,1 Bath,"1,833 Sqft",14454,"82 North Street,
       
        Geneseo, NY 14454"
14982,"$299,900",4 Bd,3 Bath,"3,355 Sqft",14546,"22 Second Street,
       
        Woodlands, NY 14546"
14983,"$235,000",5 Bd,2 Bath,"2,245 Sqft",14546,"27 Rochester Street,
       
        Woodlands, NY 14546"
14984,"$100,000",1 Bd,1 Bath,600 Sqft,14546,"52 Blue Pond Manor,
       
        Woodlands, NY 14546"
14985,"$209,777",4 Bd,2 Bath,"1,584 Sqft",14546,"10 Browns Avenue,
       
        Woodlands, NY 14546"
14986,"$374,900",,,,14546,"0 Scottsville Mumford,
       
        Woodlands, NY 14546"
14987,"$779,000",2 Bd,1 Bath,"2,154 Sqft",14546,"1866 Wheatland Center Road,
       
        Woodlands, NY 14546"
14988,"$319,777",4 Bd,3 Bath,"1,891 Sqft",14514,"31 Middlesburough Park,
       
        Chili, NY 14514"
14989,"$375,000",5 Bd,3 Bath,"2,316 Sqft",14514,"8 Southampton Square,
       
        Chili, NY 14514"
14990,"$249,995",4 Bd,3 Bath,"1,550 Sqft",14624,"46 Hillary Drive,
       
        Chili, NY 14624"
14991,"$489,900",3 Bd,2 Bath,"1,746 Sqft",14428,"36 Gage Gardens,
       
        Chili, NY 14428"
14992,"$349,900",4 Bd,3 Bath,"4,718 Sqft",14428,"61 Stuart Road,
       
        Chili, NY 14428"
14993,"$389,000",3 Bd,3 Bath,"2,065 Sqft",14586,"19 Blaydon Loop,
       
        Henrietta, NY 14586"
14994,"$299,900",3 Bd,2 Bath,"1,594 Sqft",14586,"56 Doncaster Trail,
       
        Henrietta, NY 14586"
14995,"$319,900",3 Bd,3 Bath,"1,736 Sqft",14586,"19 Longton Place,
       
        Henrietta, NY 14586"
14996,"$219,500",4 Bd,3 Bath,"1,836 Sqft",14624,"38 Omega Drive,
       
        Chili, NY 14624"
14997,"$349,900",3 Bd,3 Bath,"1,880 Sqft",14428,"1359 Paul Rd,
       
        Chili, NY 14428"
14998,"$434,900",3 Bd,3 Bath,"2,225 Sqft",14586,"14 Fox Field Lane,
       
        Henrietta, NY 14586"
14999,"$260,000",3 Bd,2 Bath,"1,300 Sqft",14586,"84 Grangerford Hts,
       
        Henrietta, NY 14586"
15000,"$375,000",3 Bd,3 Bath,"1,888 Sqft",14586,"120 Hummingbird,
       
        Henrietta, NY 14586"
15001,"$299,900",3 Bd,3 Bath,"1,886 Sqft",14586,"30 Butterfly Lane,
       
        Henrietta, NY 14586"
15002,"$299,900",3 Bd,2 Bath,"1,506 Sqft",14624,"7 Summer Pond,
       
        Chili, NY 14624"
15003,"$277,500",3 Bd,2 Bath,"1,257 Sqft",14428,"14 Beaver Road Ext,
       
        Chili, NY 14428"
15004,"$5,350,000",5 Bd,5 Bath,"6,500 Sqft",14424,"4331 Tichenor Point DR,
       
        Canandaigua, NY 14424"
15005,"$750,000",2 Bd,4 Bath,"1,745 Sqft",14424,"5082 Foster Road,
       
        Canandaigua, NY 14424"
15006,"$495,000",3 Bd,3 Bath,"2,302 Sqft",14424,"5256 Red Fox Dr,
       
        Canandaigua, NY 14424"
15007,"$1,900,000",4 Bd,3 Bath,"3,165 Sqft",14424,"5267 Menteth Drive,
       
        Canandaigua, NY 14424"
15008,"$1,099,000",3 Bd,3 Bath,"1,704 Sqft",14544,"4777-78 County Road 11,
       
        Gorham, NY 14544"
15009,"$4,500,000",5 Bd,4 Bath,"5,563 Sqft",14424,"4747 County Road 16/West Lake Road,
       
        Canandaigua, NY 14424"
15010,"$500,000",3 Bd,3 Bath,"1,504 Sqft",14544,"4850 Jones Road,
       
        Gorham, NY 14544"
15011,"$825,000",2 Bd,1 Bath,912 Sqft,14544,"5028 County Road 11,
       
        Gorham, NY 14544"
15012,"$379,000",2 Bd,2 Bath,867 Sqft,14424,"4570 Northern Parkway,
       
        Gorham, NY 14424"
15013,"$249,900",3 Bd,1 Bath,"1,511 Sqft",14424,"4552 Wildflower Drive,
       
        Gorham, NY 14424"
15014,"$485,000",3 Bd,2 Bath,"1,962 Sqft",14424,"4537 Ridge Rd,
       
        Gorham, NY 14424"
15015,"$1,899,900",4 Bd,5 Bath,"2,710 Sqft",14544,"5250 Shale Beach Road,
       
        Gorham, NY 14544"
15016,"$499,000",4 Bd,3 Bath,"2,844 Sqft",14424,"5705 Goodale Road,
       
        Canandaigua, NY 14424"
15017,"$300,000",4 Bd,2 Bath,"2,625 Sqft",14424,"4090 Woolhouse Road,
       
        Canandaigua, NY 14424"
15018,"$349,900",4 Bd,1 Bath,"1,980 Sqft",14424,"5142 County Road 16,
       
        Canandaigua, NY 14424"
15019,"$979,000",5 Bd,4 Bath,"4,338 Sqft",14424,"4872 Bedford Dr,
       
        Canandaigua, NY 14424"
15020,"$995,000",4 Bd,3 Bath,"1,408 Sqft",14544,"332 E Lake Rd,
       
        Middlesex, NY 14544"
15021,"$899,900",3 Bd,3 Bath,"2,832 Sqft",14424,"129 Carousel Lane,
       
        Canandaigua, NY 14424"
15022,"$544,900",3 Bd,4 Bath,"2,616 Sqft",14424,"27 Thompson Lane,
       
        Canandaigua, NY 14424"
15023,"$139,900",3 Bd,2 Bath,"1,558 Sqft",14424,"291 Mason Street,
       
        Canandaigua, NY 14424"
15024,"$280,000",3 Bd,2 Bath,"1,296 Sqft",14424,"5575 Bristol Road,
       
        Canandaigua, NY 14424"
15025,"$260,000",2 Bd,2 Bath,997 Sqft,14424,"379 Walker Drive,
       
        Canandaigua, NY 14424"
15026,"$199,900",3 Bd,2 Bath,"1,248 Sqft",14548,"1047 State Route 21,
       
        Manchester, NY 14548"
15027,"$274,900",3 Bd,3 Bath,"1,920 Sqft",14548,"1611 Sandhill Road,
       
        Farmington, NY 14548"
15028,"$169,999",3 Bd,1 Bath,"1,796 Sqft",14548,"41 High Street,
       
        Manchester, NY 14548"
15029,"$45,000",,,,14548,"0 Standpipe Road,
       
        Hopewell, NY 14548"
15030,"$155,900",1 Bd,1 Bath,900 Sqft,14548,"4919 State Route 96,
       
        Farmington, NY 14548"
15031,"$159,900",3 Bd,1 Bath,"1,242 Sqft",14504,"11 Howard Street,
       
        Manchester, NY 14504"
15032,"$95,000",3 Bd,1 Bath,987 Sqft,14504,"8 Lehigh Avenue,
       
        Manchester, NY 14504"
15033,"$374,900",4 Bd,2 Bath,"2,556 Sqft",14522,"5239 Rushmore Road,
       
        Farmington, NY 14522"
15034,"$264,900",3 Bd,3 Bath,"1,668 Sqft",14424,"5111 CANADAIGUA FARMINGTON TOWNLINE RD,
       
        Canandaigua, NY 14424"
15035,"$199,900",3 Bd,1 Bath,"1,559 Sqft",14424,"2534 State Route 21,
       
        Canandaigua, NY 14424"
15036,"$199,900",3 Bd,2 Bath,"1,472 Sqft",14522,"410 Canandaigua Street,
       
        Palmyra, NY 14522"
15037,"$424,900",2 Bd,3 Bath,"1,911 Sqft",14424,"196 Spencer Lane,
       
        Canandaigua, NY 14424"
15038,"$229,900",3 Bd,2 Bath,"1,232 Sqft",14522,"407 W Jackson Street,
       
        Palmyra, NY 14522"
15039,"$129,900",3 Bd,2 Bath,"1,306 Sqft",14522,"124 Stafford Street,
       
        Palmyra, NY 14522"
15040,"$495,999",5 Bd,2 Bath,"2,756 Sqft",14424,"120 Fort Hill Avenue,
       
        Canandaigua, NY 14424"
15041,"$389,900",3 Bd,2 Bath,"2,724 Sqft",14424,"140 Howell Street Street,
       
        Canandaigua, NY 14424"
15042,"$369,999",3 Bd,3 Bath,"1,801 Sqft",14425,"5908 Tweed Trail,
       
        Farmington, NY 14425"
15043,"$229,900",3 Bd,2 Bath,"1,232 Sqft",14425,"116 CRANBERRY DRIVE,
       
        Farmington, NY 14425"
15044,"$225,000",4 Bd,2 Bath,"1,668 Sqft",14425,"1749 Maplewood Dr,
       
        Farmington, NY 14425"
15045,"$229,900",3 Bd,2 Bath,"1,336 Sqft",14425,"1271 Glen Carlyn Drive,
       
        Farmington, NY 14425"
15046,"$92,900",4 Bd,1 Bath,"1,624 Sqft",14424,"87 Phoenix,
       
        Canandaigua, NY 14424"
15047,"$139,900",3 Bd,1 Bath,"1,158 Sqft",14522,"1787 Division Street,
       
        Palmyra, NY 14522"
15048,"$168,000",3 Bd,2 Bath,"1,407 Sqft",14530,"3783 Euclid Avenue,
       
        Castile, NY 14530"
15049,"$179,900",4 Bd,2 Bath,"1,540 Sqft",14530,"118 South Main Street,
       
        Perry, NY 14530"
15050,"$179,900",4 Bd,2 Bath,"1,928 Sqft",14530,"40 Federal Street S,
       
        Perry, NY 14530"
15051,"$149,900",2 Bd,2 Bath,"1,000 Sqft",14530,"13 Orchard Street,
       
        Perry, NY 14530"
15052,"$35,000",3 Bd,1 Bath,"1,345 Sqft",14530,"54 Gardeau Street,
       
        Perry, NY 14530"
15053,"$179,000",4 Bd,2 Bath,"2,003 Sqft",14427,"4353 Springbrook Road West,
       
        Castile, NY 14427"
15054,"$169,900",5 Bd,2 Bath,"2,024 Sqft",14530,"55 Watkins Avenue,
       
        Perry, NY 14530"
15055,"$139,900",4 Bd,1 Bath,"1,672 Sqft",14530,"27 Handley Street,
       
        Perry, NY 14530"
15056,"$120,000",1 Bd,1 Bath,747 Sqft,14427,"6735 Lone Pine Way,
       
        Castile, NY 14427"
15057,"$79,900",3 Bd,2 Bath,"2,480 Sqft",14530,"122 Main Street N,
       
        Perry, NY 14530"
15058,"$199,900",4 Bd,2 Bath,"2,560 Sqft",14427,"90 N Main Street,
       
        Castile, NY 14427"
15059,"$189,900",3 Bd,2 Bath,"2,152 Sqft",14427,"62 S Main Street,
       
        Castile, NY 14427"
15060,"$148,500",3 Bd,2 Bath,"1,448 Sqft",14427,"5566 Route 19A,
       
        Castile, NY 14427"
15061,"$289,900",5 Bd,2 Bath,"2,830 Sqft",14481,"1738 Dunkley Road,
       
        Leicester, NY 14481"
15062,"$1,500,000",4 Bd,4 Bath,"7,329 Sqft",14569,"444 South Main Street,
       
        New York, NY 14569"
15063,"$79,900",4 Bd,3 Bath,"2,149 Sqft",14569,"204 N Main Street,
       
        Warsaw, NY 14569"
15064,"$191,500",3 Bd,2 Bath,"1,631 Sqft",14569,"29 Center Street,
       
        Warsaw, NY 14569"
15065,"$184,900",3 Bd,2 Bath,"1,394 Sqft",14569,"96 North Linwood Avenue,
       
        Warsaw, NY 14569"
15066,"$829,900",5 Bd,5 Bath,"7,600 Sqft",14569,"230 W Buffalo Street,
       
        Warsaw, NY 14569"
15067,"$164,900",3 Bd,2 Bath,"1,408 Sqft",14510,"125 Chapel Street,
       
        Mount Morris, NY 14510"
15068,"$60,000",2 Bd,2 Bath,"1,785 Sqft",14536,"6930 Main Street,
       
        Geneseo, NY 14536"
15069,"$170,000",3 Bd,1 Bath,"1,081 Sqft",14517,"2070 Halstead Road,
       
        Nunda, NY 14517"
15070,"$1,500,000",4 Bd,4 Bath,"7,329 Sqft",14569,"444 South Main Street,
       
        New York, NY 14569"
15071,"$191,500",3 Bd,2 Bath,"1,631 Sqft",14569,"29 Center Street,
       
        Warsaw, NY 14569"
15072,"$829,900",5 Bd,5 Bath,"7,600 Sqft",14569,"230 W Buffalo Street,
       
        Warsaw, NY 14569"
15073,"$79,900",4 Bd,3 Bath,"2,149 Sqft",14569,"204 N Main Street,
       
        Warsaw, NY 14569"
15074,"$184,900",3 Bd,2 Bath,"1,394 Sqft",14569,"96 North Linwood Avenue,
       
        Warsaw, NY 14569"
15075,"$148,500",3 Bd,2 Bath,"1,448 Sqft",14427,"5566 Route 19A,
       
        Castile, NY 14427"
15076,"$120,000",1 Bd,1 Bath,747 Sqft,14427,"6735 Lone Pine Way,
       
        Castile, NY 14427"
15077,"$179,000",4 Bd,2 Bath,"2,003 Sqft",14427,"4353 Springbrook Road West,
       
        Castile, NY 14427"
15078,"$189,900",3 Bd,2 Bath,"2,152 Sqft",14427,"62 S Main Street,
       
        Castile, NY 14427"
15079,"$199,900",4 Bd,2 Bath,"2,560 Sqft",14427,"90 N Main Street,
       
        Castile, NY 14427"
15080,"$168,000",3 Bd,2 Bath,"1,407 Sqft",14530,"3783 Euclid Avenue,
       
        Castile, NY 14530"
15081,"$275,000",3 Bd,2 Bath,"2,230 Sqft",14591,"1912 State Route 19,
       
        Middleburgh, NY 14591"
15082,"$179,900",4 Bd,2 Bath,"1,928 Sqft",14530,"40 Federal Street S,
       
        Perry, NY 14530"
15083,"$149,900",2 Bd,2 Bath,"1,000 Sqft",14530,"13 Orchard Street,
       
        Perry, NY 14530"
15084,"$179,900",4 Bd,2 Bath,"1,540 Sqft",14530,"118 South Main Street,
       
        Perry, NY 14530"
15085,"$169,900",5 Bd,2 Bath,"2,024 Sqft",14530,"55 Watkins Avenue,
       
        Perry, NY 14530"
15086,"$35,000",3 Bd,1 Bath,"1,345 Sqft",14530,"54 Gardeau Street,
       
        Perry, NY 14530"
15087,"$79,900",3 Bd,2 Bath,"2,480 Sqft",14530,"122 Main Street N,
       
        Perry, NY 14530"
15088,"$139,900",4 Bd,1 Bath,"1,672 Sqft",14530,"27 Handley Street,
       
        Perry, NY 14530"
15089,"$60,000",2 Bd,2 Bath,"1,785 Sqft",14536,"6930 Main Street,
       
        Geneseo, NY 14536"
15090,"$349,900",3 Bd,4 Bath,"2,519 Sqft",14846,"9628 Pennycook Road,
       
        Portage, NY 14846"
15091,"$109,900",1 Bd,1 Bath,480 Sqft,14066,"30 Treehaven Road,
       
        Wethersfield Springs, NY 14066"
15092,"$148,900",5 Bd,1 Bath,"1,320 Sqft",14551,"7040 Ridge Road,
       
        Sodus, NY 14551"
15093,"$250,000",5 Bd,1 Bath,"2,256 Sqft",14551,"5787 S Geneva Road,
       
        Sodus, NY 14551"
15094,"$149,900",3 Bd,1 Bath,"1,400 Sqft",14551,"42 Curtiss Avenue,
       
        Sodus, NY 14551"
15095,"$149,900",3 Bd,2 Bath,"1,120 Sqft",14551,"6959 Mud Lane,
       
        Sodus, NY 14551"
15096,"$19,900",,,,14551,"Vl Mud Lane,
       
        Sodus, NY 14551"
15097,"$469,900",5 Bd,3 Bath,"2,961 Sqft",14551,"7625 Christian Holler Road,
       
        Sodus, NY 14551"
15098,"$14,900",,,,14551,"0 Vl Harvest Drive,
       
        Sodus, NY 14551"
15099,"$99,000",3 Bd,2 Bath,"1,816 Sqft",14551,"6554 State Route 88 Highway,
       
        Sodus, NY 14551"
15100,"$59,900",1 Bd,1 Bath,300 Sqft,14555,"7945 Lake Road,
       
        Sodus, NY 14555"
15101,"$529,900",3 Bd,2 Bath,"1,864 Sqft",14555,"7893 Lake Road,
       
        Sodus, NY 14555"
15102,"$119,900",3 Bd,2 Bath,"1,056 Sqft",14589,"5159 Ridge Road,
       
        Williamson, NY 14589"
15103,"$725,000",4 Bd,3 Bath,"4,568 Sqft",14516,"7007 Thornton Point Road,
       
        Sodus, NY 14516"
15104,"$199,900",3 Bd,2 Bath,"1,780 Sqft",14589,"6003 E Townline Road,
       
        Williamson, NY 14589"
15105,"$199,900",1 Bd,1 Bath,542 Sqft,14555,"8486 Wickham Boulevard,
       
        Sodus, NY 14555"
15106,"$499,900",3 Bd,2 Bath,"1,638 Sqft",14555,"8627 Greig St,
       
        Sodus, NY 14555"
15107,"$157,000",2 Bd,1 Bath,936 Sqft,14513,"6474 Fairville Station Road,
       
        Arcade, NY 14513"
15108,"$224,900",5 Bd,2 Bath,"2,496 Sqft",14589,"7677 E Townline Road,
       
        Williamson, NY 14589"
15109,"$199,900",3 Bd,2 Bath,"1,176 Sqft",14505,"3694 White Road,
       
        Marion, NY 14505"
15110,"$349,900",3 Bd,3 Bath,"2,046 Sqft",14589,"4765 Lakewood Dr,
       
        Williamson, NY 14589"
15111,"$299,900",3 Bd,2 Bath,"2,272 Sqft",14505,"4378 Witherden Road,
       
        Marion, NY 14505"
15112,"$58,500",3 Bd,1 Bath,"1,376 Sqft",14589,"4060 Ridge Road,
       
        Williamson, NY 14589"
15113,"$149,900",3 Bd,1 Bath,"1,026 Sqft",14589,"6274 Bennett Street,
       
        Williamson, NY 14589"
15114,"$499,900",3 Bd,2 Bath,"1,638 Sqft",14555,"8627 Greig St,
       
        Sodus, NY 14555"
15115,"$59,900",1 Bd,1 Bath,300 Sqft,14555,"7945 Lake Road,
       
        Sodus, NY 14555"
15116,"$199,900",1 Bd,1 Bath,542 Sqft,14555,"8486 Wickham Boulevard,
       
        Sodus, NY 14555"
15117,"$52,900",1 Bd,1 Bath,192 Sqft,14555,"7945 Lake Road,
       
        Sodus, NY 14555"
15118,"$529,900",3 Bd,2 Bath,"1,864 Sqft",14555,"7893 Lake Road,
       
        Sodus, NY 14555"
15119,"$725,000",4 Bd,3 Bath,"4,568 Sqft",14516,"7007 Thornton Point Road,
       
        Sodus, NY 14516"
15120,"$469,900",5 Bd,3 Bath,"2,961 Sqft",14551,"7625 Christian Holler Road,
       
        Sodus, NY 14551"
15121,"$250,000",5 Bd,1 Bath,"2,256 Sqft",14551,"5787 S Geneva Road,
       
        Sodus, NY 14551"
15122,"$148,900",5 Bd,1 Bath,"1,320 Sqft",14551,"7040 Ridge Road,
       
        Sodus, NY 14551"
15123,"$149,900",3 Bd,1 Bath,"1,400 Sqft",14551,"42 Curtiss Avenue,
       
        Sodus, NY 14551"
15124,"$99,000",3 Bd,2 Bath,"1,816 Sqft",14551,"6554 State Route 88 Highway,
       
        Sodus, NY 14551"
15125,"$399,900",3 Bd,2 Bath,"2,162 Sqft",14590,"10755 Maple View,
       
        Huron, NY 14590"
15126,"$294,900",4 Bd,2 Bath,"1,731 Sqft",14433,"3834 High Street Road,
       
        Rose, NY 14433"
15127,"$119,900",3 Bd,2 Bath,"1,056 Sqft",14589,"5159 Ridge Road,
       
        Williamson, NY 14589"
15128,"$224,900",5 Bd,2 Bath,"2,496 Sqft",14589,"7677 E Townline Road,
       
        Williamson, NY 14589"
15129,"$329,900",3 Bd,1 Bath,"1,378 Sqft",14590,"7809 Eagle Road,
       
        Wolcott, NY 14590"
15130,"$199,900",3 Bd,2 Bath,"1,780 Sqft",14589,"6003 E Townline Road,
       
        Williamson, NY 14589"
15131,"$157,000",2 Bd,1 Bath,936 Sqft,14513,"6474 Fairville Station Road,
       
        Arcade, NY 14513"
15132,"$349,900",3 Bd,3 Bath,"2,046 Sqft",14589,"4765 Lakewood Dr,
       
        Williamson, NY 14589"
15133,"$99,900",2 Bd,1 Bath,"1,040 Sqft",14489,"96 Maple Street,
       
        Lyons, NY 14489"
15134,"$149,900",3 Bd,2 Bath,"1,752 Sqft",14489,"9 Sisson Street,
       
        Lyons, NY 14489"
15135,"$183,000",2 Bd,1 Bath,750 Sqft,14489,"125 Layton Street,
       
        Lyons, NY 14489"
15136,"$199,900",3 Bd,2 Bath,"1,672 Sqft",14556,"29 West Street,
       
        Geneva, NY 14556"
15137,"$395,000",5 Bd,3 Bath,"2,356 Sqft",14462,"6856 Groveland Hill Road,
       
        Groveland, NY 14462"
15138,"$429,900",3 Bd,2 Bath,"2,100 Sqft",14462,"4458 Lattimer Rd Road,
       
        Groveland, NY 14462"
15139,"$485,000",2 Bd,1 Bath,"1,035 Sqft",14435,"5759 W Lake Rd Road,
       
        Groveland, NY 14435"
15140,"$349,900",2 Bd,1 Bath,854 Sqft,14435,"6135 W Lake Road,
       
        Conesus, NY 14435"
15141,"$399,900",3 Bd,2 Bath,"2,052 Sqft",14462,"4921 Bath Road,
       
        Groveland, NY 14462"
15142,"$450,000",2 Bd,1 Bath,986 Sqft,14435,"5776 E Lake Road,
       
        Conesus, NY 14435"
15143,"$535,000",4 Bd,1 Bath,"2,344 Sqft",14435,"5697 E Lake Road,
       
        Conesus, NY 14435"
15144,"$299,900",5 Bd,3 Bath,"2,748 Sqft",14462,"4721 Scottsburg Road,
       
        Groveland, NY 14462"
15145,"$469,000",4 Bd,4 Bath,"3,251 Sqft",14454,"8 Crossett Road,
       
        Geneseo, NY 14454"
15146,"$589,000",3 Bd,3 Bath,"1,323 Sqft",14487,"5264 E Lake Rd Road,
       
        Livonia, NY 14487"
15147,"$749,900",7 Bd,7 Bath,"5,263 Sqft",14454,"85 Center Street,
       
        Geneseo, NY 14454"
15148,"$545,000",,,,14454,"72 2nd Street,
       
        Geneseo, NY 14454"
15149,"$164,000",5 Bd,2 Bath,"1,416 Sqft",14454,"8 Highland Road,
       
        Geneseo, NY 14454"
15150,"$179,000",3 Bd,1 Bath,"1,833 Sqft",14454,"82 North Street,
       
        Geneseo, NY 14454"
15151,"$129,900",3 Bd,2 Bath,"2,287 Sqft",14454,"53 2nd Street,
       
        Geneseo, NY 14454"
15152,"$2,725,000",3 Bd,2 Bath,"2,685 Sqft",14435,"6000 Henderson Hill Road,
       
        Conesus, NY 14435"
15153,"$169,000",4 Bd,1 Bath,"1,440 Sqft",14454,"8 Main Street,
       
        Geneseo, NY 14454"
15154,"$249,900",3 Bd,2 Bath,"1,608 Sqft",14487,"5795 Decker Road,
       
        Livonia, NY 14487"
15155,"$59,900",3 Bd,1 Bath,"1,187 Sqft",14545,"5623 Scottsburg Road,
       
        Sparta, NY 14545"
15156,"$875,000",3 Bd,2 Bath,"2,112 Sqft",14454,"4583 Lima Road,
       
        Geneseo, NY 14454"
15157,"$169,900",3 Bd,2 Bath,"1,148 Sqft",14510,"19 Bonadonna Avenue,
       
        Mount Morris, NY 14510"
15158,"$224,900",3 Bd,2 Bath,"1,932 Sqft",14422,"6745 Batavia Byron Road,
       
        Byron, NY 14422"
15159,"$69,999",4 Bd,1 Bath,"1,840 Sqft",14482,"7142 Randall Road,
       
        Le Roy, NY 14482"
